CURRENCY,BASE,VALID_FROM,VALID_TO,RATE
CZK,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,24.8840
HUF,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,398.0000
CAD,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,1.5459
PLN,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,4.1635
BAM,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,1.9612
TRY,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,41.1079
BGN,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,1.9558
MKD,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,61.4950
PEN,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,3.9301
BRL,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,6.2051
ALL,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,98.6500
USD,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,1.0825
UAH,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,44.9929
RON,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,4.9756
CLP,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,994.9500
DKK,EUR,2025-03-26 00:00:01.000 +0100,2025-03-27 00:00:01.000 +0100,7.4599
GBP,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,0.8366
CZK,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,24.9700
MXN,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,21.8324
SEK,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,10.9570
ALL,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,98.4750
CAD,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,1.5520
BAM,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,1.9608
RSD,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,117.2100
PLN,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,4.1760
DKK,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,7.4591
BGN,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,1.9558
BRL,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,6.2314
TRY,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,41.1312
PEN,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,3.9412
RON,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,4.9756
HUF,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,398.0800
UAH,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,45.0128
NOK,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,11.3795
USD,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,1.0824
CLP,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,1001.8650
RUB,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,117.2010
HRK,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,7.5345
MKD,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,61.5000
INR,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,92.6195
CHF,EUR,2025-03-25 00:00:01.000 +0100,2025-03-26 00:00:01.000 +0100,0.9544
BGN,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,1.9558
RSD,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,117.2500
PEN,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,3.9323
MXN,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,21.9337
CZK,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,24.9810
CAD,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,1.5551
BRL,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,6.1911
RON,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,4.9770
HRK,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,7.5345
SEK,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,10.9330
HUF,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,399.0800
GBP,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,0.8377
DKK,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,7.4596
NOK,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,11.4010
BAM,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,1.9608
CLP,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,1004.5250
MKD,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,61.4600
ALL,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,98.5750
PLN,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,4.2023
TRY,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,41.1528
RUB,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,117.2010
USD,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,1.0827
INR,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,93.1400
CHF,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,0.9547
UAH,EUR,2025-03-24 00:00:01.000 +0100,2025-03-25 00:00:01.000 +0100,44.9472
HUF,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,399.0800
BGN,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,1.9558
BAM,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,1.9608
PLN,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,4.2023
USD,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,1.0827
HRK,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,7.5345
INR,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,93.1400
PEN,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,3.9323
CLP,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,1004.5250
UAH,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,44.9472
CZK,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,24.9810
RSD,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,117.2500
SEK,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,10.9330
DKK,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,7.4596
RON,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,4.9770
BRL,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,6.1911
CAD,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,1.5551
TRY,EUR,2025-03-23 00:00:01.000 +0100,2025-03-24 00:00:01.000 +0100,41.1528
